Time    GridBlock 29        GridBlock 46        

0       7750                7750                
1       7588.92624959845    7556.50166425271    
2       7487.7576328254     7430.11439673388    
3       7419.52148107706    7342.69800310453    
4       7370.42160246652    7279.07611801797    
5       7333.00129371535    7230.62288251603    
6       7303.04866125908    7192.21446478204    
15      7213.5715260027     7082.83250539884    
20      7148.9552796041     7005.65130346551    
25      7096.6369184496     6942.69321030898    
30      7051.46732236101    6886.83676973929    
35      7010.98422340298    6834.96520323161    
40      6973.84765730253    6785.58916423226    
45      6939.2834397297     6737.94195373737    
50      6906.80697543632    6691.60537150487    
55      6876.09043253726    6646.34073490168    
60      6846.9002924965     6602.00570938469    
65      6819.06272199425    6558.51178730599    
70      6792.44566664638    6515.80411907592    
75      6766.93797291514    6473.87825727246    
80      6742.44848309046    6432.69940690968    
85      6718.89891864866    6392.23260415537    
90      6696.2218571874     6352.45194704041    
95      6674.35800879578    6313.3427135879     
100     6653.25511654875    6274.89179530251    
