Time    GridBlock 29        GridBlock 46        

0       0                   650                 
1       19136.413555176     650                 
2       16264.2555218976    650                 
3       14256.1326516505    650                 
4       12664.4852471732    650                 
5       11339.8610693836    650                 
6       10207.9806496602    650                 
7       9230.1565894062     650                 
8       8375.40921163675    650                 
9       7620.74864474147    650                 
10      6948.65570530611    650                 
11      6345.57122531851    650                 
12      5800.88759364284    650                 
13      5306.28915438316    650                 
14      4855.23518624977    650                 
15      4442.34075273835    650                 
16      4063.21148976677    650                 
17      3714.28543458294    650                 
18      3392.56484521818    650                 
19      3095.50032312208    650                 
20      2820.89220659256    650                 
21      2566.82527004808    650                 
22      2331.60801213311    650                 
23      2113.7345334944     650                 
24      1911.85139077215    650                 
25      1724.73491882514    650                 
26      1551.27254873603    650                 
27      1390.44787455889    650                 
28      1241.32875925439    650                 
29      1103.05770294198    650                 
30      974.8439631766      650                 
31      855.957003317374    650                 
32      745.720919436222    650                 
33      643.509662530502    650                 
34      548.742899649077    650                 
35      460.882377411099    650                 
36      379.428734982368    650                 
37      303.918600035603    650                 
38      233.921818892816    650                 
39      169.039125399049    650                 
40      108.899837068774    650                 
41      53.1598752576271    650                 
42      0                   650                 
43      0                   650                 
44      0                   650                 
45      0                   650                 
46      0                   650                 
47      0                   650                 
48      0                   650                 
49      0                   650                 
50      0                   650                 
51      0                   650                 
52      0                   650                 
53      0                   650                 
54      0                   650                 
55      0                   650                 
56      0                   650                 
57      0                   650                 
58      0                   650                 
59      0                   650                 
60      0                   650                 
